description,Cluster ID,Label,questionId,correctAnswerId
The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,2,tissue_Cluster_2,1827,7323
"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",2,tissue_Cluster_2,1828,7328
The ciliated columnar epithelial cells in humans occur in,1,epithelium_Cluster_1,1829,7330
The squamous epithelium is found in,1,epithelium_Cluster_1,1830,7336
The kind of epithelium which forms the inner walls of blood vessels is,1,epithelium_Cluster_1,1831,7340
Which of the following type of cell junction is not found in animal tissues?,7,cell_Cluster_7,1832,7344
Which of the following statement is incorrect regarding cuboidal epithelium?,1,epithelium_Cluster_1,1833,7347
Which of the following statement(s) is/are correct  regarding compound epithelium?,1,epithelium_Cluster_1,1834,7352
"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",1,epithelium_Cluster_1,1835,7355
A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,1,epithelium_Cluster_1,1836,7360
Which of the following statement(s) regarding cell junctions is/are correct?,7,cell_Cluster_7,1837,7363
Choose the correctly matched pair,1,epithelium_Cluster_1,1838,7367
The function of the gap junction is to:,7,cell_Cluster_7,1839,7372
The only type of cell seen in a tendon is,2,tissue_Cluster_2,1840,7376
Tendons and ligaments are the examples of,2,tissue_Cluster_2,1841,7379
Which of the following statement is incorrect regarding cuboidal epithelium?,1,epithelium_Cluster_1,1842,7383
What are the three basic components of connective tissues ?,2,tissue_Cluster_2,1843,7387
The major functions of loose connective tissue include,2,tissue_Cluster_2,1844,7392
Which one is the characteristic of epithelial tissue?,7,cell_Cluster_7,1845,7395
What will happen if ligaments are cut or broken?,3,ligament_Cluster_3,1846,7399
The supportive skeletal structures in the human external ears and in the nose tip are examples of,4,cartilage_Cluster_4,1847,7404
Which of the following types of connective tissue is mismatched with its matrix?,4,cartilage_Cluster_4,1848,7407
The protein present in the matrix of cartilage is,4,cartilage_Cluster_4,1849,7410
The camel's hump is composed of a tissue which provides water when oxidized. It is:,2,tissue_Cluster_2,1850,7415
The function of the gap junction is to,7,cell_Cluster_7,1851,7420
Choose the correctly matched pair.,2,tissue_Cluster_2,1852,7423
"Muscle tissue cells are contractile, which means they",5,muscle_Cluster_5,1853,7426
The fibres of which of the following muscles are fusiform and do not show striations,5,muscle_Cluster_5,1854,7432
Intercalated discs are the communication junctions between the cells of,7,cell_Cluster_7,1855,7433
Smooth muscles are _______.,5,muscle_Cluster_5,1856,7440
Which of the following statement(s) is/are correct about muscle tissue?,5,muscle_Cluster_5,1857,7444
Three essential components of most neurons are,5,muscle_Cluster_5,1858,7446
Neuroglia are,2,tissue_Cluster_2,1859,7450
Nervous tissue cells that play several supporting roles but do not transmit impulses are called,2,tissue_Cluster_2,1860,7453
Which of the following statements Is not correct regarding neural tissue ?,2,tissue_Cluster_2,1861,7458
The secretions of endocrine glands are released directly,0,bone_Cluster_0,1862,7462
Mast cells are associated with,2,tissue_Cluster_2,1863,7467
Which of the following is involved in the production of new blood cells?,0,bone_Cluster_0,1864,7470
Which of the following vertebrate tissues would be an excellent source of collagen?,2,tissue_Cluster_2,1865,7476
The complexity in organ and organ systems displays certain discernable trend. This discernable trend is known as,2,tissue_Cluster_2,1866,7477
Which of the following statement is correct about anatomy,2,tissue_Cluster_2,1867,7483
General function of gland is to,0,bone_Cluster_0,1868,7487
Which one of the following pair of structures distinguish a nerve cell from other types of cell ?,5,muscle_Cluster_5,1869,7492
Frogs are:,6,frog_Cluster_6,1870,7497
Frog takes water through which of the following organs?,6,frog_Cluster_6,1871,7499
Mesorchium in frogs is associated with,6,frog_Cluster_6,1872,7505
"In frogs, the cloaca is used to pass",6,frog_Cluster_6,1873,7509
"In a frog, if a hole is punched in the floor of its buccal cavity, then the frog will not die as",6,frog_Cluster_6,1874,7513
Identify the incorrect statement about frog.,6,frog_Cluster_6,1875,7516
In frog mesorchium is a thin fold of membrane extending between,6,frog_Cluster_6,1876,7519
Frog's heart is,6,frog_Cluster_6,1877,7525
"Vasa efferentia in male frog, enter the kidney and open into",6,frog_Cluster_6,1878,7526
Incorrect options from the following with respect to frog.,6,frog_Cluster_6,1879,7533
The ability to change colour and hide from the enemies in frog is called,6,frog_Cluster_6,1880,7535
Special venous connection between kidney and lower parts of body in a  frog is called,6,frog_Cluster_6,1881,7539
Through which of the following structure the medulla oblongata passes out and continues into spinal cord ?,3,ligament_Cluster_3,1882,7544
"The figure given here shows a diagrammatic representation of internal organs of the frog digestive system. Identify A to D and select the correct option. 
 
A, B, C,D",6,frog_Cluster_6,1883,7547
